metric,value
Best objective,1.1323903958728752
Best closed-loop loss,0.5485806823963089
Best one-step NLL,4.030716182384711
Best mean target rank,11.3865
Mean target rank (held samples),11.062
Median target rank,8.0
Top-1 hit rate,0.0325
Top-5 hit rate,0.3565
Top-10 hit rate,0.629
Mean target probability,0.019202640439746687
Positive utility-margin fraction,0.0325
Per-ID mean closed-loop loss,0.47279678654176494
Per-ID median closed-loop loss,0.3933118086398064
Per-ID mean local NLL,3.882800695095631
Per-ID median tracking rank,6.3625
