parameter,best,robust,top_p50,top_p95,per_id_p50,per_id_p025,per_id_p975,per_id_p95
S_theta,3.411,4.216,4.216,8.299,5.297,0.295,9.728,9.441
S_v,2.809,3.364,3.364,9.325,3.737,0.182,9.585,9.137
xi_i,3.0,4.074,4.074,6.791,5.373,1.227,9.609,9.388
S_d,4.343,5.802,5.802,7.604,6.393,0.818,9.89,9.602
gamma,1.7,1.453,1.453,4.048,0.854,0.155,9.009,8.181
w_x,8.297,5.449,5.449,8.257,5.121,0.322,9.85,9.574
w_y,9.747,3.906,3.906,9.439,6.015,1.03,9.774,9.626
w_c,97.449,373.889,373.889,807.669,477.845,23.179,963.748,927.92
w_ell,54.914,44.164,44.164,84.731,225.316,2.413,952.494,909.282
beta,0.047,1.925,1.925,8.878,4.941,0.172,9.81,9.663
