parameter,search_low,search_high,best,robust,top_p05,top_p50,top_p95,top_p025,top_p975,per_id_mean,per_id_std,per_id_p025,per_id_p50,per_id_p975,per_id_p05,per_id_p95
S_theta,0.05,10.0,3.4106931982909012,4.215807454626839,0.7633840739725342,4.215807454626839,8.298853148996564,0.7530308015651231,8.384263070432942,5.141136280124061,2.8586391440479386,0.2952465460119791,5.2971565950525035,9.727783370495418,0.7037682095126289,9.441417371917256
S_v,0.05,10.0,2.8086791075090938,3.3640883076704906,0.8693213774489323,3.3640883076704906,9.324595463996971,0.7732118450345268,9.575740442365126,3.990729148817806,2.7636331482616674,0.18219315104957642,3.7368955851988606,9.584969134099872,0.3258803010684748,9.137387975473992
xi_i,1.1,10.0,3.000096127908744,4.074479781973683,2.182589708328592,4.074479781973683,6.791041817035696,1.9308633046126618,7.231728504773445,5.290170504731464,2.294232127391408,1.2265749645698663,5.372682079422148,9.6088583048223,1.5272511475796628,9.388202757359059
S_d,0.05,10.0,4.342737524946301,5.802146681475808,3.0772539728919814,5.802146681475808,7.603735700542679,2.559556156142487,7.797216707676609,5.996000095119766,2.6726097111061553,0.8182392654979134,6.393414479891197,9.889644360860634,1.1975902919700778,9.602256150554718
gamma,0.1,10.0,1.699654826226608,1.452532058237622,0.3796140566523608,1.452532058237622,4.047923290370423,0.32662104824945926,4.127520881146519,2.132624357588516,2.647577177949277,0.15531207354153354,0.8535628469776285,9.009395230685382,0.18041049085617003,8.18102780936452
w_x,0.1,10.0,8.297055364783786,5.448917135516377,3.4499669141305844,5.448917135516377,8.25730637261051,3.367386275465318,8.277180868697148,5.121942600623087,2.9177680588667076,0.3215187392866573,5.121082476281257,9.849596351922353,0.6709340048191637,9.573923148694355
w_y,0.1,10.0,9.746860722703243,3.9055836644291784,1.9629158041861874,3.9055836644291784,9.438620836470342,1.8341475469279358,9.592740779586792,5.85879278098657,2.6342716650541513,1.029759696188577,6.01524304281694,9.773595538298126,1.4536076384648748,9.625634699182356
w_c,0.01,1000.0,97.44861126485505,373.88870580491084,103.44218924816082,373.88870580491084,807.6687726745338,100.44540025650794,812.2788863152948,489.2866827095975,284.1268271657132,23.17907883620544,477.84459779577674,963.7480933023284,44.30437243989681,927.9203447741453
w_ell,0.1,1000.0,54.91376654659112,44.16358302453898,18.58017843143874,44.16358302453898,84.73099865148737,18.320142303963486,89.17683948091451,330.0609085566102,306.9082404344287,2.413450363243081,225.31609448066007,952.4941885706627,7.268540207539119,909.2818475488954
beta,0.01,10.0,0.047339106444492934,1.9247619728786125,0.1814084949094651,1.9247619728786125,8.877557738542565,0.11437380067697901,9.151053493589835,5.015867373099405,2.993979795121583,0.1719068830095836,4.941236696168957,9.810292535011882,0.3156429984754521,9.663343149405561
