Parameter,S1,S1_conf,ST,ST_conf
S_theta,0.008241859585805342,0.05036371110928084,0.8039975148674627,0.24631102899751278
S_v,-0.018415163771535507,0.051238517600997215,0.7757609718038428,0.2670685949581494
xi_i,-0.040065141738733205,0.06681449485643355,0.9625083061375802,0.6880917024999124
S_d,-0.021794950056710324,0.03392131677838393,0.3395952646938049,0.2039045162503969
gamma,-0.014899361941657084,0.06136947339990815,0.8382436498212209,0.47881949746257374
w_x,-0.045627187691878575,0.05242539618372825,0.7975128015378989,0.47971157871574466
w_y,0.0059519572756437465,0.05541604152886172,0.6605614679349858,0.3112674072417132
w_c,-0.019953617946515192,0.054072848443975766,0.8644319132504924,0.315919168429676
w_ell,-0.04216068300932744,0.07448129162846516,1.3351780196448004,0.6350484167652534
beta,0.017036806810554753,0.05564257675967226,1.0665663353184907,0.812704340849598
sigma_long,0.03566346510545634,0.06462487201255966,1.0419370955540106,0.4525140049231344
sigma_lat,0.0019374058480569503,0.06835662031912407,1.1185844716070346,0.36123508542302357
