id,index,start_time_s,agent_ids,cars,collisions,min_near,mean_near,mean_delta_m,file
TGSIM-R000,0,713.2,8825 8830 8833 8837 8839 8842 8843 8847,8,10,6,6.0,0.0,scenes/TGSIM-R000.png
TGSIM-R001,1,2913.2,1328 10537 10539 10565 10571 10577 10583 10586,8,8,4,4.25,0.0,scenes/TGSIM-R001.png
TGSIM-R002,2,6857.2,13988 13997 14007 14005 13972 2669 13992 14008,8,2,2,2.75,0.26,scenes/TGSIM-R002.png
TGSIM-R003,3,1369.2,808 810 844 850 9309 9337 9340 9350,8,0,3,3.0,0.0,scenes/TGSIM-R003.png
TGSIM-R004,4,1701.2,947 949 9604 9617 9620 9625 9638,7,2,2,3.0,1.31,scenes/TGSIM-R004.png
TGSIM-R005,5,3565.2,11076 11080 11081 11082 11090 11095 11097 11103,8,10,6,6.0,0.0,scenes/TGSIM-R005.png
TGSIM-R006,6,3785.2,11276 11275 11285 11286 11289 11264 11293 11244,8,14,7,7.0,0.0,scenes/TGSIM-R006.png
TGSIM-R007,7,3901.2,11396 11397 11376 11409 11404 11395 1727 1728,8,2,5,5.25,3.16,scenes/TGSIM-R007.png
TGSIM-R008,8,621.2,14625 14605 14627 14609 14617 14610 14607 14616,8,14,6,6.25,0.0,scenes/TGSIM-R008.png
TGSIM-R009,9,821.2,8907 8918 8892 8932 8881 8924 8909 8928,8,22,7,7.0,0.0,scenes/TGSIM-R009.png
TGSIM-R010,10,1037.2,9050 9057 9058 9059 9063 9066 9067 9070,8,8,6,6.5,0.0,scenes/TGSIM-R010.png
TGSIM-R011,11,5653.2,12937 12947 2266 2247 12917 2234 2232 12934,8,0,0,1.5,0.04,scenes/TGSIM-R011.png
