polygon_id,vertex_index,x,y,kind,area_m2,buffer_m,m_per_px
1,0,29.3063,11.7574,island,70.75,0.5,0.04355
1,1,30.2208,11.7574,island,70.75,0.5,0.04355
1,2,31.353,12.0622,island,70.75,0.5,0.04355
1,3,32.2674,12.4976,island,70.75,0.5,0.04355
1,4,33.7915,13.5863,island,70.75,0.5,0.04355
1,5,34.2705,14.0653,island,70.75,0.5,0.04355
1,6,34.5753,14.7185,island,70.75,0.5,0.04355
1,7,34.8366,15.5458,island,70.75,0.5,0.04355
1,8,35.0108,16.4603,island,70.75,0.5,0.04355
1,9,35.0108,17.2441,island,70.75,0.5,0.04355
1,10,34.7931,18.2021,island,70.75,0.5,0.04355
1,11,34.5318,18.8118,island,70.75,0.5,0.04355
1,12,33.9222,19.7698,island,70.75,0.5,0.04355
1,13,32.79,20.7713,island,70.75,0.5,0.04355
1,14,31.6578,21.2939,island,70.75,0.5,0.04355
1,15,30.6998,21.5552,island,70.75,0.5,0.04355
1,16,29.8289,21.4245,island,70.75,0.5,0.04355
1,17,28.6967,21.0762,island,70.75,0.5,0.04355
1,18,27.9128,20.6842,island,70.75,0.5,0.04355
1,19,27.4338,20.3359,island,70.75,0.5,0.04355
1,20,26.8242,19.7262,island,70.75,0.5,0.04355
1,21,26.1275,18.7247,island,70.75,0.5,0.04355
1,22,25.8226,17.9844,island,70.75,0.5,0.04355
1,23,25.6049,16.9393,island,70.75,0.5,0.04355
1,24,25.6049,15.8942,island,70.75,0.5,0.04355
1,25,25.8226,15.3281,island,70.75,0.5,0.04355
1,26,25.8662,14.8491,island,70.75,0.5,0.04355
1,27,26.5629,13.5427,island,70.75,0.5,0.04355
1,28,27.0855,12.8896,island,70.75,0.5,0.04355
1,29,27.9999,12.1057,island,70.75,0.5,0.04355
1,30,29.3063,11.7574,island,70.75,0.5,0.04355
2,0,35.2285,21.2068,island,16.6,0.5,0.04355
2,1,35.4898,20.8584,island,16.6,0.5,0.04355
2,2,35.5769,20.5101,island,16.6,0.5,0.04355
2,3,35.7511,20.3359,island,16.6,0.5,0.04355
2,4,35.8817,20.0746,island,16.6,0.5,0.04355
2,5,36.0995,19.8133,island,16.6,0.5,0.04355
2,6,36.2301,19.5085,island,16.6,0.5,0.04355
2,7,36.4043,19.2908,island,16.6,0.5,0.04355
2,8,36.7526,18.6376,island,16.6,0.5,0.04355
2,9,37.0139,17.8538,island,16.6,0.5,0.04355
2,10,37.101,17.157,island,16.6,0.5,0.04355
2,11,37.1881,17.0699,island,16.6,0.5,0.04355
2,12,37.3623,17.0699,island,16.6,0.5,0.04355
2,13,38.2767,17.9844,island,16.6,0.5,0.04355
2,14,38.2767,18.028,island,16.6,0.5,0.04355
2,15,39.5396,19.2472,island,16.6,0.5,0.04355
2,16,40.1928,19.7698,island,16.6,0.5,0.04355
2,17,40.6282,20.2052,island,16.6,0.5,0.04355
2,18,41.891,21.2068,island,16.6,0.5,0.04355
2,19,42.1959,21.5116,island,16.6,0.5,0.04355
2,20,42.1959,21.5987,island,16.6,0.5,0.04355
2,21,42.1088,21.6858,island,16.6,0.5,0.04355
2,22,41.9781,21.7293,island,16.6,0.5,0.04355
2,23,41.4991,21.7293,island,16.6,0.5,0.04355
2,24,41.4556,21.7729,island,16.6,0.5,0.04355
2,25,40.4105,21.7729,island,16.6,0.5,0.04355
2,26,40.3669,21.8164,island,16.6,0.5,0.04355
2,27,40.3234,21.7729,island,16.6,0.5,0.04355
2,28,40.1928,21.8164,island,16.6,0.5,0.04355
2,29,40.1492,21.7729,island,16.6,0.5,0.04355
2,30,40.0186,21.8164,island,16.6,0.5,0.04355
2,31,39.975,21.7729,island,16.6,0.5,0.04355
2,32,39.8444,21.8164,island,16.6,0.5,0.04355
2,33,39.8008,21.7729,island,16.6,0.5,0.04355
2,34,39.7573,21.8164,island,16.6,0.5,0.04355
2,35,39.4525,21.8164,island,16.6,0.5,0.04355
2,36,39.4089,21.86,island,16.6,0.5,0.04355
2,37,39.1477,21.7729,island,16.6,0.5,0.04355
2,38,39.0606,21.8164,island,16.6,0.5,0.04355
2,39,39.017,21.7729,island,16.6,0.5,0.04355
2,40,38.8864,21.7729,island,16.6,0.5,0.04355
2,41,38.8428,21.8164,island,16.6,0.5,0.04355
2,42,38.7993,21.7729,island,16.6,0.5,0.04355
2,43,38.6251,21.7729,island,16.6,0.5,0.04355
2,44,38.5816,21.8164,island,16.6,0.5,0.04355
2,45,38.538,21.7729,island,16.6,0.5,0.04355
2,46,38.4074,21.7729,island,16.6,0.5,0.04355
2,47,38.1461,21.86,island,16.6,0.5,0.04355
2,48,38.1026,21.8164,island,16.6,0.5,0.04355
2,49,38.0155,21.86,island,16.6,0.5,0.04355
2,50,37.9719,21.8164,island,16.6,0.5,0.04355
2,51,37.2752,21.8164,island,16.6,0.5,0.04355
2,52,37.2316,21.7729,island,16.6,0.5,0.04355
2,53,37.1881,21.8164,island,16.6,0.5,0.04355
2,54,37.1446,21.7729,island,16.6,0.5,0.04355
2,55,36.4914,21.6858,island,16.6,0.5,0.04355
2,56,36.2736,21.5987,island,16.6,0.5,0.04355
2,57,36.0995,21.5987,island,16.6,0.5,0.04355
2,58,35.8817,21.5116,island,16.6,0.5,0.04355
2,59,35.3592,21.4245,island,16.6,0.5,0.04355
2,60,35.2285,21.2939,island,16.6,0.5,0.04355
2,61,35.2285,21.2068,island,16.6,0.5,0.04355
0,0,0.0,18.6811,outer,888.31,0.5,0.04355
0,1,-21.6698,14.8837,outer,888.31,0.5,0.04355
0,2,-21.6698,19.0206,outer,888.31,0.5,0.04355
0,3,0.0,22.818,outer,888.31,0.5,0.04355
0,4,2.2495,23.1196,outer,888.31,0.5,0.04355
0,5,12.0186,24.4292,outer,888.31,0.5,0.04355
0,6,17.1135,27.9128,outer,888.31,0.5,0.04355
0,7,18.7682,31.3094,outer,888.31,0.5,0.04355
0,8,23.7886,52.7289,outer,888.31,0.5,0.04355
0,9,27.1852,52.7289,outer,888.31,0.5,0.04355
0,10,22.1648,31.3094,outer,888.31,0.5,0.04355
0,11,22.3825,28.4789,outer,888.31,0.5,0.04355
0,12,24.1679,25.1695,outer,888.31,0.5,0.04355
0,13,33.6609,25.1259,outer,888.31,0.5,0.04355
0,14,40.7589,23.8631,outer,888.31,0.5,0.04355
0,15,42.849,24.6034,outer,888.31,0.5,0.04355
0,16,48.6842,29.8289,outer,888.31,0.5,0.04355
0,17,51.2098,31.3094,outer,888.31,0.5,0.04355
0,18,68.1144,45.389,outer,888.31,0.5,0.04355
0,19,72.5997,44.4746,outer,888.31,0.5,0.04355
0,20,55.6951,30.395,outer,888.31,0.5,0.04355
0,21,49.9035,25.3872,outer,888.31,0.5,0.04355
0,22,49.5551,24.1244,outer,888.31,0.5,0.04355
0,23,51.1227,23.2534,outer,888.31,0.5,0.04355
0,24,55.6951,23.1228,outer,888.31,0.5,0.04355
0,25,77.6445,21.6309,outer,888.31,0.5,0.04355
0,26,77.6445,20.3681,outer,888.31,0.5,0.04355
0,27,55.6951,21.86,outer,888.31,0.5,0.04355
0,28,45.636,21.5987,outer,888.31,0.5,0.04355
0,29,34.227,10.451,outer,888.31,0.5,0.04355
0,30,41.6298,10.7558,outer,888.31,0.5,0.04355
0,31,54.9112,12.9331,outer,888.31,0.5,0.04355
0,32,55.6951,12.7154,outer,888.31,0.5,0.04355
0,33,77.4785,15.795,outer,888.31,0.5,0.04355
0,34,77.4785,14.2709,outer,888.31,0.5,0.04355
0,35,55.6951,11.1913,outer,888.31,0.5,0.04355
0,36,33.8351,8.056,outer,888.31,0.5,0.04355
0,37,33.8315,8.055,outer,888.31,0.5,0.04355
0,38,33.8244,8.0531,outer,888.31,0.5,0.04355
0,39,33.8137,8.0501,outer,888.31,0.5,0.04355
0,40,33.7994,8.0462,outer,888.31,0.5,0.04355
0,41,33.7815,8.0413,outer,888.31,0.5,0.04355
0,42,33.7601,8.0355,outer,888.31,0.5,0.04355
0,43,33.7351,8.0286,outer,888.31,0.5,0.04355
0,44,33.7065,8.0208,outer,888.31,0.5,0.04355
0,45,33.6744,8.012,outer,888.31,0.5,0.04355
0,46,33.6386,8.0022,outer,888.31,0.5,0.04355
0,47,33.5993,7.9914,outer,888.31,0.5,0.04355
0,48,33.5565,7.9797,outer,888.31,0.5,0.04355
0,49,33.51,7.967,outer,888.31,0.5,0.04355
0,50,33.46,7.9533,outer,888.31,0.5,0.04355
0,51,33.4064,7.9386,outer,888.31,0.5,0.04355
0,52,33.3493,7.923,outer,888.31,0.5,0.04355
0,53,33.2886,7.9063,outer,888.31,0.5,0.04355
0,54,33.2243,7.8887,outer,888.31,0.5,0.04355
0,55,33.1564,7.8702,outer,888.31,0.5,0.04355
0,56,33.0849,7.8506,outer,888.31,0.5,0.04355
0,57,33.0099,7.8301,outer,888.31,0.5,0.04355
0,58,32.9313,7.8085,outer,888.31,0.5,0.04355
0,59,32.8492,7.786,outer,888.31,0.5,0.04355
0,60,32.7634,7.7626,outer,888.31,0.5,0.04355
0,61,32.6741,7.7381,outer,888.31,0.5,0.04355
0,62,32.5813,7.7127,outer,888.31,0.5,0.04355
0,63,32.4848,7.6863,outer,888.31,0.5,0.04355
0,64,32.3848,7.6589,outer,888.31,0.5,0.04355
0,65,32.2812,7.6305,outer,888.31,0.5,0.04355
0,66,32.174,7.6012,outer,888.31,0.5,0.04355
0,67,32.0633,7.5709,outer,888.31,0.5,0.04355
0,68,31.949,7.5396,outer,888.31,0.5,0.04355
0,69,31.8236,7.5039,outer,888.31,0.5,0.04355
0,70,31.6871,7.4638,outer,888.31,0.5,0.04355
0,71,31.5395,7.4194,outer,888.31,0.5,0.04355
0,72,31.3808,7.3705,outer,888.31,0.5,0.04355
0,73,31.211,7.3173,outer,888.31,0.5,0.04355
0,74,31.0301,7.2598,outer,888.31,0.5,0.04355
0,75,30.8381,7.1978,outer,888.31,0.5,0.04355
0,76,30.635,7.1315,outer,888.31,0.5,0.04355
0,77,30.4208,7.0607,outer,888.31,0.5,0.04355
0,78,30.1955,6.9856,outer,888.31,0.5,0.04355
0,79,29.9591,6.9062,outer,888.31,0.5,0.04355
0,80,29.7116,6.8223,outer,888.31,0.5,0.04355
0,81,29.453,6.7341,outer,888.31,0.5,0.04355
0,82,29.1833,6.6414,outer,888.31,0.5,0.04355
0,83,28.9025,6.5444,outer,888.31,0.5,0.04355
0,84,28.6106,6.4431,outer,888.31,0.5,0.04355
0,85,28.3076,6.3373,outer,888.31,0.5,0.04355
0,86,27.9935,6.2272,outer,888.31,0.5,0.04355
0,87,27.6683,6.1126,outer,888.31,0.5,0.04355
0,88,27.332,5.9937,outer,888.31,0.5,0.04355
